"source_path","target_path","http_status","reason"
"/catalogsearch/result/?q=detske+elektricke+kefky","/vyhladavanie?q=detske%20elektricke%20kefky","301","legacy-search"
"/catalogsearch/result/?q=detske+ihriska","/vyhladavanie?q=detske%20ihriska","301","legacy-search"
"/catalogsearch/result/?q=detske+supravy","/vyhladavanie?q=detske%20supravy","301","legacy-search"
"/catalogsearch/result/?q=diagnosticke+testy","/vyhladavanie?q=diagnosticke%20testy","301","legacy-search"
"/catalogsearch/result/?q=diagnosticke+vahy","/vyhladavanie?q=diagnosticke%20vahy","301","legacy-search"
"/catalogsearch/result/?q=dielenske+naradie","/vyhladavanie?q=dielenske%20naradie","301","legacy-search"
"/catalogsearch/result/?q=dielensky+nabytok+a+vybavenie","/vyhladavanie?q=dielensky%20nabytok%20a%20vybavenie","301","legacy-search"
"/catalogsearch/result/?q=digitalne+teplomery","/vyhladavanie?q=digitalne%20teplomery","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+autoziarovky","/vyhladavanie?q=dom-a-zahrada%20autoziarovky","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+autoziarovky+ambientne-osvetlenie","/vyhladavanie?q=dom-a-zahrada%20autoziarovky%20ambientne-osvetlenie","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+autoziarovky+osvetlenie-interieru","/vyhladavanie?q=dom-a-zahrada%20autoziarovky%20osvetlenie-interieru","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+autoziarovky+pracovne-svietidla","/vyhladavanie?q=dom-a-zahrada%20autoziarovky%20pracovne-svietidla","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+dielna+sety-naradia","/vyhladavanie?q=dom-a-zahrada%20dielna%20sety-naradia","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+dielna-a-stavba+elektrocentraly","/vyhladavanie?q=dom-a-zahrada%20dielna-a-stavba%20elektrocentraly","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+garaz+autoziarovky+osram-box-s-nahradami-h7-24v-px26d-eurobox","/vyhladavanie?q=dom-a-zahrada%20garaz%20autoziarovky%20osram-box-s-nahradami-h7-24v-px26d-eurobox","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+garaz+startovacie-kable+sharks-startovaci-led-kabely-600a","/vyhladavanie?q=dom-a-zahrada%20garaz%20startovacie-kable%20sharks-startovaci-led-kabely-600a","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+tesla-smart-sensor-temperature-and-humidity-bazar-rozbaleno","/vyhladavanie?q=dom-a-zahrada%20tesla-smart-sensor-temperature-and-humidity-bazar-rozbaleno","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+ventus-827-meteorologicka-stanice","/vyhladavanie?q=dom-a-zahrada%20ventus-827-meteorologicka-stanice","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+xiaomi-mi-temperature-and-humidity-monitor","/vyhladavanie?q=dom-a-zahrada%20xiaomi-mi-temperature-and-humidity-monitor","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-141","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-141","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-167","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-167","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-183","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-183","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-199","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-199","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-214","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-214","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-23","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-23","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-234","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-234","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+domove-alarmy-64","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20domove-alarmy-64","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+videotelefony-a-kukatka+veria-7076c-cerny-lcd-monitor-videotelefonu","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20videotelefony-a-kukatka%20veria-7076c-cerny-lcd-monitor-videotelefonu","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+videotelefony-a-kukatka+veria-7077b-bily-lcd-monitor-videotelefonu","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20videotelefony-a-kukatka%20veria-7077b-bily-lcd-monitor-videotelefonu","301","legacy-search"
"/catalogsearch/result/?q=dom-a-zahrada+zabezpecovacia-technika+videotelefony-a-kukatka+veria-7077c-cerny-lcd-monitor-videotelefonu","/vyhladavanie?q=dom-a-zahrada%20zabezpecovacia-technika%20videotelefony-a-kukatka%20veria-7077c-cerny-lcd-monitor-videotelefonu","301","legacy-search"
